T,Eye0_fr,Eye1_fr,Scene_fr,L_gv_1,L_gv_2,L_gv_3,R_gv_1,R_gv_2,R_gv_3,Confidence,POR_1,POR_2,L_pd,R_pd
535489.8465735,6669,6669,1670,-0.252228799879601,-0.436158582902628,0.863797616963411,0.711477815700884,-0.332890597505986,0.618856338626024,1,309.463122111404,1253.17356185625,4.55693683870591,3.81358419571516
535489.8507735,6670,6670,1670,-0.252203805375023,-0.436564875838631,0.86359964667568,0.711477815700884,-0.332890597505986,0.618856338626024,1,309.053968937576,1253.21664990527,4.54338689799703,3.8116763752336
535489.8549735,6670,6670,1670,-0.252203805375023,-0.436564875838631,0.86359964667568,0.71168373842035,-0.33260495791186,0.618773139721243,1,309.412929251229,1253.61208859601,4.54948976693346,3.80441791692051
535489.8591735,6671,6671,1670,-0.252435797196673,-0.436116646356395,0.863758322139088,0.71168373842035,-0.33260495791186,0.618773139721243,1,309.871094652907,1253.38771716302,4.56837475482289,3.80267709977429
535489.8633735,6671,6671,1670,-0.252435797196673,-0.436116646356395,0.863758322139088,0.711486977588144,-0.33316023922895,0.618700683464466,1,309.242291341037,1253.02913817345,4.57515433580821,3.810120880205
535489.8675735,6672,6672,1670,-0.252725415132421,-0.436970262125109,0.863242060238297,0.711486977588144,-0.33316023922895,0.618700683464466,1,308.392641476277,1252.82341772807,4.56797330466556,3.8179358323383
535489.8717735,6672,6672,1671,-0.252725415132421,-0.436970262125109,0.863242060238297,0.711394570985874,-0.332947858923399,0.618921228921863,1,308.576246736619,1252.62292192619,4.55998933757686,3.82001842585876
535489.8759735,6673,6673,1671,-0.252778572669861,-0.436872636795664,0.863275907470023,0.711394570985874,-0.332947858923399,0.618921228921863,1,308.67607312635,1252.57170243821,4.5583423794592,3.8159644275619
535489.8801735,6673,6673,1671,-0.252778572669861,-0.436872636795664,0.863275907470023,0.711602127721465,-0.333483699128448,0.618393915104193,1,308.204027556629,1253.0263239221,4.56522095942593,3.80896220432282
535489.8843735,6674,6674,1671,-0.253319730599428,-0.436267040494535,0.863423524967425,0.711602127721465,-0.333483699128448,0.618393915104193,1,308.830043465188,1252.52523459791,4.57343092763896,3.80677657849882
535489.8885735,6674,6674,1671,-0.253319730599428,-0.436267040494535,0.863423524967425,0.711380678799752,-0.333059268022156,0.618877252623613,1,309.18474309497,1252.04987000739,4.57088352080753,3.81028909952283
